"genome" "711_E-2-S" "711_E-2-M" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-2-D" "712_E-1-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-X" "712_S-2-D" "712_S-3-S" "713_E-1-X0" "713_E-1-X1" "713_E-2-X1" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-X0" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_20-24" "714_E1_30-34" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_10-14" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_E3_20-24" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_20-24" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"PMOO01" 0 0 0 0.65929455 0 0 0.48521212 0 0.8810699 0.4815605 0 0 0 0 0 0.9047597 0.37240443 0 0.17805901 0.43235737 0 0.1920101 0 0 0 0 0 0 0 0 0 0 0.10521306 0.53253114 0 0 0 0 0 0 0 0 0 0 3.516725 0 0.20001665 0 0 0 0 0 0 0 0 0 0 0 0.52991325 0.12819608 0.13748665 0 0.30387497 0 0 0.10455194 0 0.3157593 0.17521714 0 0.16058142 0 0.124055915 0.19939615 0 0 0 0 0 0 0 0 0.1691338 0 0 0.42245027 0.3418751 0 0 0.764665 0 0 0 0 0
"20120700_P3D_97" 0 0 0 0 0.5084025 0 0 6.2881393 0 8.768962 0 0 0 0 0 0 4.415262 0 0 0.1682774 0 0 3.0060577 0 0 0 0 0 0.15950893 0 0.07763234 0.3719007 1.0837982 0 0.44046682 0 0 0 0 0 0 0 0 0 0.8457827 1.3570732 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23566568 0 0 0.1113558 1.1814423 0 0 0 0 0 0 0 0 0 0 0 0 2.7977645 0 0 0 0 0 0 0 0
"PMLV01" 0 0 0 0.1879826 2.5775125 0 0.31336612 8.236422 0.28516823 2.434126 0.24395919 0.26313815 0 0 0 0.21912257 4.4270654 0 0.07060417 2.3865616 0 0.17062476 3.6325881 0 0.20792946 0.16781034 0 0 0 0 0 0 1.3089529 0.06227041 1.1892575 0.28513464 0 0.53604853 0.15705933 0.08413115 0.3577451 1.083868 0 0 0.58239216 0 0.5591376 0.3111331 0 0 0.1969115 0.17670497 0.4067211 0.387848 2.187323 0 0 0 0.057799656 0.062230494 0.9367033 0 0.25914896 0 0 0.8435119 0.1261131 0 0.48819405 0.61345685 0.05862345 0 0.29629672 1.2222612 0.4919895 0.7714305 0.28777456 0.06309953 0.36691868 0.1594853 0.2945622 0.54809535 0 1.1354547 0 0.6186667 2.5220218 0 0 0.5654527 0.11383813 0.10135487 0.19446582 0.7391411 0
"PMTF01" 0 0 0 0.11254055 1.4170924 0 0 79.92646 0.12350683 9.792456 0 0 0 0 0.07347233 0.06414161 46.77371 0 0 34.49945 0 0 1.1553345 0 0 0 0 0 0 0 0 0 0.5736175 0 0.32289743 0 0 0 0 0 0 0 0 0 12.053573 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6235309 0.06253579 0 0.63248336 0.6013223 0 0 0.104948446 5.370191 0 0 0 0 0 0 0 0 0 0 0 3.98978 57.078392 0 0 8.008297 0 0 0 0 0
"20110800_P1D_22" 0 0 0 0 0.99036413 0 0 0.20899571 0 0.21167919 0 0 0 0 0 0 2.732219 0 0 1.6906725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.0257144 0.14359728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16564332 0 0 0 0 0.14327282 0 0 0 0 0 0 0 0 0 0 0 0.08650648 1.0368795 0 0 2.0888493 0 0 0 0 0
"20120700_P3D_136" 0 0 0 0 1.0590401 0 0 7.652571 0 0.15441592 0 0 0 0 0 0 2.576481 0 0 0.10639445 0 0 4.036543 0 0 0 0 0 0 0 0 0 0 0 0.06899427 0 0 0 0 0 0 0 0 0 7.4870296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19920464 0 0 0 0 0 0 0 0 0 0 0 0 16.619692 0 0 0 0 0 0 0 0
"20120700_P3D_38" 0 0 0 0.10604115 0.629835 0 0 2.929569 0 3.343076 0 0 0 0 0 0 0.5835126 0 0 0.8754605 0 0 0.7742238 0 0 0 0.059841663 0.17907566 1.2746924 0 0 0 0.33873004 0 0 0 0 0 0 0 0 0 0 0 2.286296 4.198066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24477829 0 0 0.2926692 0 0 0 0.12460777 2.5178285 0 0 0 0 0 0 0 0 0 0 0 1.2894735 3.9868886 0 0 0.7488248 0 0 0 0 0
"20120700_P3D_84" 0 0 0 0.88114274 2.1046197 0 0 37.717846 0.119869255 5.0765443 0 0 0 0 0 0 2.9845257 0 0 3.4833255 0 0 24.240145 0 0 0 0.077794775 1.0841615 5.076278 0.19027667 0.27611735 0.7364977 0.325008 0 0.114999615 0 0 0 0 0 0 0 0 0 6.9475408 3.6234639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.046047 0.6114921 0 1.0725949 0.17512767 0 0 1.1595495 8.95255 0 0 0 0 0 0 0 0 0 0.094230756 0 3.9961138 35.756466 0.10707218 0 4.5044026 0 0 0 0 0
"20110700_P2D_9" 0 0.07463894 0 0 1.9278994 0 0 21.13088 0 0 0 0 0.08753826 0 0 0 0 0 0 0 0 0 0.4651286 0 0 0 0 0 0 0 0 0.05591827 0 0 0 0 0 0 0 0 0 0 0 0 2.7145755 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.62040806 0 0 0 0 0 0 0 0 0 0 0 0 1.4452195 0 0 0 0 0 0 0 0.09505899
"20110600_P1M_17" 0 0 0 0 0.4307169 0 0 19.720219 0 8.136197 0 0 0 0 0 0 4.32166 0 0 0.14074174 0 0 0.9777547 0 0 0 0 0 0 0 0 0 0.15547284 0 0 0 0 0 0 0 0 0 0 0 2.6544924 0.30228734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12078099 0 0.15158923 0 0 0.37247577 0 0 0.23262776 0.09247747 0 0 0.3787314 21.85795 0 0 0 0 0 0 0 0 0 0.24345554 0 0.18034151 34.20556 0 0 3.2140539 0 0 0 0 0
