Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
keratan sulfate hydrolase / keratanase II	3.2.1.-	pubmed	Niallia circulans KST202	AAO88279.1	Q7X0Z0		Bacteria	2	GH111
Ι-carrageenase (CgiA)	3.2.1.157	pubmed	Alteromonas sp. ATCC 43554 / Alteromonas fortis	CAC07801.1	Q9F5I8	1H80[A,B]1KTW[A,B]3LMW[A,B]	Bacteria	8	GH82
Ι-carrageenase (CgiA)	3.2.1.157	pubmed	Alteromonas sp. ATCC 43554 / Alteromonas fortis	AAW20550.1	Q9F5I8	1H80[A,B]1KTW[A,B]3LMW[A,B]	Bacteria	8	GH82
Ι-carrageenase (CgiA;CgiA_Ce)	3.2.1.157	pubmed	Cellulophaga sp. QY3	AEV89930.1	M1EU02		Bacteria	8	GH82
Ι-carrageenase (CgiB;CgiB_Ce)	3.2.1.157	pubmed	Cellulophaga sp. QY3	AGN70890.1	R9UQG9		Bacteria	8	GH82
Ι-carrageenase (CgiF)	3.2.1.157	pubmed	Flavobacterium sp. YS-80-122	APX55175.1	A0A1W5QBK3		Bacteria	8	GH82
Ι-carrageenase (CgiA)	3.2.1.157	pubmed	Microbulbifer thermotolerans JAMB-A94(T)	BAJ40863.1	E3W9G3		Bacteria	8	GH82
Ι-carrageenase (CgiA)	3.2.1.157	pubmed	Microbulbifer thermotolerans JAMB-A94(T)	BAK08904.1	E3W9G3		Bacteria	8	GH82
?-carrageenase  (Cgi82A; Cgi82A_Wf; AXE80_00300)	3.2.1.157	pubmed	Wenyingzhuangia fucanilytica CZ1127	ANW94827.1	A0A1B1Y261		Bacteria	8	GH82
Ι-carrageenase (CgiA; zobellia_4265)	3.2.1.157	pubmed	Zobellia galactanivorans DsijT	CAZ98400.1	Q9F284		Bacteria	8	GH82
Ι-carrageenase (CgiA; zobellia_4265)	3.2.1.157	pubmed	Zobellia galactanivorans DsijT	AAW20551.1	Q9F284		Bacteria	8	GH82
