Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
chitinase (ChiN1;Chi;VNG_0816G;Vng0816g)	3.2.1.14	doi	Halobacterium salinarum NRC-1	AAG19274.1	Q9HR84		Archaea	100	GH18
chitinase (ChiN1;Chi;VNG_0816G;Vng0816g)	3.2.1.14	doi	Halobacterium salinarum NRC-1	NP_279794.1	Q9HR84		Archaea	100	GH18
chitinase (Chia1;HsChiA1;OE2201F)	3.2.1.14	pubmed	Halobacterium salinarum R1	CAP13543.1	B0R478		Archaea	100	GH18
HFX_5038 (ChiCHme)	3.2.1.14	pubmed	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	AFK20875.1	I3R9G5		Archaea	100	GH18
HFX_5038 (ChiCHme)	3.2.1.14	pubmed	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	QCQ77304.1	I3R9G5		Archaea	100	GH18
HFX_5037 (ChiBHme)	3.2.1.14	pubmed	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	AFK20874.1	I3R9G4		Archaea	100	GH18
HFX_5037 (ChiBHme)	3.2.1.14	pubmed	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	QCQ77303.1	I3R9G4		Archaea	100	GH18
HFX_5039 (ChiDHme)	3.2.1.14	pubmed	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	AFK20876.1	I3R9G6M0JBD1		Archaea	100	GH18
HFX_5039 (ChiDHme)	3.2.1.14	pubmed	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	QCQ77305.1	I3R9G6M0JBD1		Archaea	100	GH18
HFX_5036 (ChiAHme)	3.2.1.14	pubmed	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	AFK20873.1	I3R9G3		Archaea	100	GH18
HFX_5036 (ChiAHme)	3.2.1.14	pubmed	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	QCQ77302.1	I3R9G3		Archaea	100	GH18
chitinase (PF1234+PF1233;ChiA+ChiB) (Chi18B+Chi18A)	3.2.1.14	pubmedpubmed	Pyrococcus furiosus DSM 3638	AAL81357.1	Q8U1H4Q8U1H5		Archaea	100	GH18
chitinase (PF1234+PF1233;ChiA+ChiB) (Chi18B+Chi18A)	3.2.1.14	pubmedpubmed	Pyrococcus furiosus DSM 3638	AAL81358.1	Q8U1H4Q8U1H5		Archaea	100	GH18
chitinase (PF1234+PF1233;ChiA+ChiB) (Chi18B+Chi18A)	3.2.1.14	pubmedpubmed	Pyrococcus furiosus DSM 3638	NP_578962.1	Q8U1H4Q8U1H5		Archaea	100	GH18
chitinase (PF1234+PF1233;ChiA+ChiB) (Chi18B+Chi18A)	3.2.1.14	pubmedpubmed	Pyrococcus furiosus DSM 3638	NP_578963.1	Q8U1H4Q8U1H5		Archaea	100	GH18
chitinase (PF1234+PF1233;ChiA+ChiB) (Chi18B+Chi18A)	3.2.1.14	pubmedpubmed	Pyrococcus furiosus DSM 3638	AAL81357.1	Q8U1H5	2DSK[A,B]3A4W[A,B]3A4X[A,B]3AFB[A,B]	Archaea	100	GH18
chitinase (PF1234+PF1233;ChiA+ChiB) (Chi18B+Chi18A)	3.2.1.14	pubmedpubmed	Pyrococcus furiosus DSM 3638	NP_578962.1	Q8U1H5	2DSK[A,B]3A4W[A,B]3A4X[A,B]3AFB[A,B]	Archaea	100	GH18
chitinase A (ChiA;TK1765)	3.2.1.200	pubmed	Thermococcus kodakarensis KOD1	BAD85954.1	Q9UWR7		Archaea	100	GH18
chitinase A (ChiA;TK1765)	3.2.1.200	pubmed	Thermococcus kodakarensis KOD1	CAT70561.1	Q9UWR7		Archaea	100	GH18
chitinase A (ChiA;TK1765)	3.2.1.14	pubmed	Thermococcus kodakarensis KOD1	BAD85954.1	Q9UWR7		Archaea	100	GH18
chitinase A (ChiA;TK1765)	3.2.1.14	pubmed	Thermococcus kodakarensis KOD1	CAT70561.1	Q9UWR7		Archaea	100	GH18
chitinase A (ChiA; Cthe_0270) (Chi18A)	3.2.1.14	pubmed	Acetivibrio thermocellus ATCC 27405	CAA93150.1	A3DC30Q59326Q8VVI8		Bacteria	100	GH18
chitinase A (ChiA; Cthe_0270) (Chi18A)	3.2.1.14	pubmed	Acetivibrio thermocellus ATCC 27405	ABN51509.1	A3DC30Q59326Q8VVI8		Bacteria	100	GH18
chitinase (Chi1)	3.2.1.14	pubmed	Aeromonas caviae CB101	CAD58828.1	Q8GHI4		Bacteria	100	GH18
chitinase A (ChiA;AcD1ChiA)	3.2.1.14	pubmed	Aeromonas caviae K1 / D1	AAA93130.1	Q43919		Bacteria	100	GH18
chitinase (ChiA)	3.2.1.14	doi	Aeromonas hydrophila JMP636	AAF70180.1	Q9L5D5		Bacteria	100	GH18
chitinase (ChiA)	3.2.1.14	doi	Aeromonas hydrophila JMP636	AAE36542.1	Q9L5D5		Bacteria	100	GH18
chitinase 92 (Chi92)	3.2.1.14	pubmed	Aeromonas hydrophila JP101	AAG09437.1	Q9F9Q8		Bacteria	100	GH18
chitinase (Chi-A;AHA_0977)	3.2.1.14	pubmed	Aeromonas hydrophila subsp. hydrophila ATCC 7966	ABK39408.1	A0KGX3		Bacteria	100	GH18
chitinase (ChiA)	3.2.1.14	pubmed	Aeromonas hydrophila SUWA-9	BAE87051.1	Q25BN2		Bacteria	100	GH18
hexaoligochitin-producing chitinase (ASCHI61) (partial)	3.2.1.14	pubmed	Aeromonas schubertii	ABF29701.1	D2CFK8		Bacteria	100	GH18
chitinase II	3.2.1.14	doi	Aeromonas sp. 10S-24	BAA06605.1	Q59145		Bacteria	100	GH18
chitinase (pCA8)	3.2.1.14	doi	Aeromonas sp. 10S-24	BAA36459.1	Q9ZNJ2		Bacteria	100	GH18
chitinase (ChiCD3)	3.2.1.14	doi	Aeromonas sp. CD3 / Aeromonas veronii CD3	ACR33067.1	D2DJ38		Bacteria	100	GH18
chitinase (ChiB565;B565_0857)	3.2.1.14	pubmed	Aeromonas veronii B565	AEB48892.1			Bacteria	100	GH18
endochitinase A (AsChi18A; VSAL_I0757)	3.2.1.14	pubmed	Aliivibrio salmonicida LFI1238	CAQ78442.1			Bacteria	100	GH18
chitinase (ChiC)	3.2.1.14	pubmed	Arthrobacter sp. TAD20	CAD43215.1	Q6A4C3		Bacteria	100	GH18
chitinase (ChitiA)	3.2.1.14	pubmed	Arthrobacter sp. TAD20	CAB62382.1	Q9RMB8		Bacteria	100	GH18
chitinase (ChitiB)	3.2.1.14	pubmed	Arthrobacter sp. TAD20	CAB62499.1	Q9REI6	1KFW[A]	Bacteria	100	GH18
N-acetylglucosaminidase / spore cortex-lytic enzyme (SleL;YaaH;BAS3402)	3.2.1.-	pubmed	Bacillus anthracis str. Sterne	AAT55709.1	P0DPJ9		Bacteria	100	GH18
N-acetylglucosaminidase / spore cortex-lytic enzyme (SleL;YaaH;BAS3402)	3.2.1.-	pubmed	Bacillus anthracis str. Sterne	AJH43466.1	P0DPJ9		Bacteria	100	GH18
chitinase CW (ChiCW)	3.2.1.14	pubmed	Bacillus cereus 28-9	AAM48520.2	Q8KVU8		Bacteria	100	GH18
chitinase CH (ChiCH)	3.2.1.14	pubmed	Bacillus cereus 28-9	AAP47142.1	Q7X4L4		Bacteria	100	GH18
